Nombre,Comuna,Tipo,Dependencia,Latitud,Longitud
Centro de Salud Familiar Dr. Héctor García,Buin,Centro de Salud Familiar (CESFAM),Municipal,-33.737754,-70.741333
Centro Comunitario de Salud Familiar La Islita,Isla de Maipo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.735822,-70.862001
Centro de Salud Familiar Alto Jahuel,Buin,Centro de Salud Familiar (CESFAM),Municipal,-33.735249,-70.684161
SUR Alto Jahuel,Buin,Servicio de Urgencia Rural (SUR),Municipal,-33.735249,-70.684161
Centro de Salud Familiar Maipo,Buin,Centro de Salud Familiar (CESFAM),Municipal,-33.734885,-70.784598
SUR Maipo,Buin,Servicio de Urgencia Rural (SUR),Municipal,-33.734885,-70.784598
Centro de Salud Familiar La Islita,Isla de Maipo,Centro de Salud Familiar (CESFAM),Municipal,-33.734795,-70.861701
Centro Médico y Dental Santa Catalina,Buin,Centro de Salud Privado,Privado,-33.73453,-70.7386
Hospital San Luis (Buin),Buin,Hospital,Servicio de Salud,-33.734263,-70.739547
Centro Médico KINEROD,Buin,Centro de Salud Privado,Privado,-33.73418,-70.744272
Posta de Salud Rural Las Mercedes ( María Pinto ),Maria Pinto,Posta de Salud Rural (PSR),Municipal,-33.488356,-71.185176
Posta de Salud Rural Loica,San Pedro,Posta de Salud Rural (PSR),Municipal,-33.976502,-71.468925
Centro Asistencial AChS Buin,Buin,Centro de Salud Privado,Privado,-33.730686,-70.745993
Centro Comunitario de Salud Familiar San Vicente de Naltagua,Isla de Maipo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.727721,-70.989064
Centro de Salud Rural El Principal,Pirque,Consultorio General Rural (CGR),Municipal,-33.720684,-70.553279
Centro Comunitario de Salud Familiar Dr. Héctor García,Buin,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.711787,-70.739533
Posta de Salud Rural Nihue,San Pedro,Posta de Salud Rural (PSR),Municipal,-33.986458,-71.549984
Centro de Salud Familiar Dr. Francisco Boris Soler,Melipilla,Centro de Salud Familiar (CESFAM),Municipal,-33.700239,-71.218134
SAPU Dr. Francisco Boris Soler,Melipilla,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.700169,-71.217991
Hospital San José (Melipilla),Melipilla,Hospital,Servicio de Salud,-33.69526,-71.214668
Posta de Salud Rural El Recurso,Buin,Posta de Salud Rural (PSR),Municipal,-33.690787,-70.701729
COSAM Melipilla,Melipilla,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.690264,-71.21851
Centro de Salud La Araucana Salud,Melipilla,Centro de Salud Privado,Privado,-33.688167,-71.215165
Clínica San Agustín de Melipilla,Melipilla,Centro de Salud Privado,Privado,-33.686376,-71.213295
Centro Comunitario de Salud Familiar Lo Chacón,El Monte,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.68636,-71.022316
Centro Odontologico Uno Salud Dental Gran Avenida,San Miguel,Clínica Dental,Privado,-33.504559,-70.655472
Centro de Salud Mutual CChC Melipilla,Melipilla,Centro de Salud Privado,Privado,-33.686119,-71.210766
Centro de Salud Familiar Florencia,Melipilla,Centro de Salud Familiar (CESFAM),Municipal,-33.684442,-71.213312
SAPU El Monte,El Monte,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.682045,-70.985912
Centro de Salud Familiar El Monte,El Monte,Centro de Salud Familiar (CESFAM),Municipal,-33.681919,-70.986091
Centro de Salud Familiar Dr. Edelberto Elgueta,Melipilla,Centro de Salud Familiar (CESFAM),Municipal,-33.681498,-71.22595
SAPU Dr. Edelberto Elgueta,Melipilla,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.681495,-71.225757
Clínica del Trabajador AChS,Melipilla,Clínica,Privado,-33.6801,-71.23301
Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Melipilla,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.678925,-71.232021
Centro Comunitario de Salud Familiar Villa Los Presidentes,Talagante,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.678794,-70.955385
Centro Comunitario de Salud Familiar Padre Demetrio Bravo,Melipilla,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.678719,-71.206891
Clínica Los Maitenes,Melipilla,Clínica,Privado,-33.6721,-71.21718
Posta de Salud Rural Santa Rita,Pirque,Posta de Salud Rural (PSR),Municipal,-33.672074,-70.532282
COSAM Pirque,Pirque,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.672074,-70.532282
Posta de Salud Rural Los Morros,Buin,Posta de Salud Rural (PSR),Municipal,-33.67046,-70.665548
SAPU Dr. Alberto Allende Jones,Talagante,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.669668,-70.937885
Centro de Salud Familiar Dr. Alberto Allende Jones,Talagante,Centro de Salud Familiar (CESFAM),Municipal,-33.669665,-70.937614
COSAM Talagante,Talagante,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.669635,-70.937712
Posta de Salud Rural San Vicente,Pirque,Posta de Salud Rural (PSR),Municipal,-33.668856,-70.621154
Hospital Adalberto Steeger (Talagante),Talagante,Hospital,Servicio de Salud,-33.66801,-70.920339
Centro Asistencial AChS Talagante,Talagante,Centro de Salud Privado,Privado,-33.667441,-70.928765
Centro Médico Clínica Maitenes - Talagante,Talagante,Centro de Salud Privado,Privado,-33.667394,-70.928644
Centro Comunitario de Salud Familiar Lo Herrera,San Bernardo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.665294,-70.745222
Centro de Salud Esmeralda,Talagante,Centro de Salud Privado,Privado,-33.664867,-70.927698
SAPU Marcela Jacques Vargas,Talagante,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.663479,-70.929231
SAR Oriente María Eugenia Torres,Talagante,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.662391,-70.916975
Centro de Salud Mutual CChC Talagante,Talagante,Centro de Salud Privado,Privado,-33.661894,-70.927275
Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Melipilla,Centro de Salud Familiar (CESFAM),Municipal,-33.649845,-71.15045
Centro Comunitario de Salud Familiar Ribera del Maipo,San Bernardo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.648929,-70.662793
Hospital San José de Maipo,San José de Maipo,Hospital,Servicio de Salud,-33.641256,-70.352299
COSAM San José de Maipo,San José de Maipo,Centro Comunitario de Salud Mental  (COSAM),Servicio de Salud,-33.64097,-70.351681
Posta de Salud Rural Santa Inés,Calera de Tango,Posta de Salud Rural (PSR),Municipal,-33.64029,-70.76634
Centro de Salud Familiar Calera de Tango,Calera de Tango,Centro de Salud Familiar (CESFAM),Municipal,-33.636009,-70.811012
Centro de Salud Familiar Dr. José Manuel Balmaceda,Pirque,Centro de Salud Familiar (CESFAM),Municipal,-33.635077,-70.572477
SAPU Dr. José Manuel Balmaceda,Pirque,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.635077,-70.572477
Integramédica Mall Plaza Sur,San Bernardo,Centro de Salud Privado,Privado,-33.632025,-70.710848
Fundación Vida Nueva (Clínica Psiquiátrica),Peñaflor,Clínica,Privado,-33.629126,-70.896286
Centro de Salud Familiar Cardenal Silva Henríquez,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.627923,-70.616459
SAPU Cardenal Silva Henríquez de Puente Alto,Puente Alto,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.627857,-70.616197
SAPU Karol Wojtyla,Puente Alto,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.626314,-70.625363
Centro de Salud Familiar Karol Wojtyla,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.625966,-70.625759
Centro de Salud Familiar Los Bajos de San Agustín,Calera de Tango,Centro de Salud Familiar (CESFAM),Municipal,-33.625946,-70.782415
SUR Los Bajos de San Agustín,Calera de Tango,Servicio de Urgencia Rural (SUR),Municipal,-33.625946,-70.782415
Clínica de Cirugía Plástica,San Bernardo,Clínica,Privado,-33.62467,-70.69878
Centro de Salud Familiar San Gerónimo,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.623527,-70.588387
SAPU San Gerónimo,Puente Alto,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.623509,-70.588615
Posta de Salud Rural Puntilla,Pirque,Posta de Salud Rural (PSR),Municipal,-33.618933,-70.53074
Centro Especialidades Primarias San Lazaro,Puente Alto,Centro de Referencia de Salud (CRS),Municipal,-33.618848,-70.587406
COSAM CEIF Centro,Puente Alto,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.616061,-70.575382
Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS,Puente Alto,Centro de Salud Familiar (CESFAM),Delegados,-33.614332,-70.552683
Centro de Referencia de Salud Hospital Provincia Cordillera,Puente Alto,Centro de Referencia de Salud (CRS),Servicio de Salud,-33.614166,-70.598737
SAPU Padre Joan Alsina,San Bernardo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.614112,-70.697762
Centro de Salud Familiar Padre Joan Alsina,San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.613987,-70.697869
COSAM Puente Alto,Puente Alto,Centro Comunitario de Salud Mental  (COSAM),Corporación Municipal,-33.613765,-70.576098
Integramédica Puente Alto,Puente Alto,Centro de Salud Privado,Privado,-33.612073,-70.576065
Servicios Médicos PEÑASalud,Peñaflor,Vacunatorio,Privado,-33.611333,-70.89268
Centro de Salud Familiar Vista Hermosa,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.61107,-70.521039
Clínica Policenter,Puente Alto,Clínica,Privado,-33.610852,-70.573518
Centro Asistencial AChS Peñaflor,Peñaflor,Centro de Salud Privado,Privado,-33.610845,-70.872671
SAPU Dr. Fernando Monckeberg,Peñaflor,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.610078,-70.87153
Hospital de Peñaflor,Peñaflor,Hospital,Servicio de Salud,-33.61001,-70.904125
Centro de Salud Familiar Dr. Fernando Monckeberg,Peñaflor,Centro de Salud Familiar (CESFAM),Municipal,-33.609978,-70.871635
Centro Medico de Clínica Maitenes Peñaflor,Peñaflor,Centro de Salud Privado,Privado,-33.608844,-70.856194
Centro de Salud Familiar Peñaflor,Peñaflor,Centro de Salud Familiar (CESFAM),Municipal,-33.6088,-70.896258
SAPU Peñaflor,Peñaflor,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.608746,-70.895925
Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.607158,-70.578452
SAPU Dr. Alejandro del Río,Puente Alto,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.607158,-70.578452
Centro Vida Integra de Puente Alto,Puente Alto,Centro de Salud Privado,Privado,-33.605696,-70.577751
Centro Odontológico Uno Salud Dental Hernando de Aguirre,Providencia,Clínica Dental,Privado,-33.420487,-70.600971
Laboratorio Medicina Nuclear Sur Ltda,Puente Alto,Laboratorio Clínico,Privado,-33.605389,-70.577098
Vacunatorio Home Nursing,Puente Alto,Vacunatorio,Privado,-33.60537,-70.577004
Centro de Salud Mutual CChC Puente Alto,Puente Alto,Centro de Salud Privado,Privado,-33.605163,-70.578216
Centro Asistencial AChS Puente Alto,Puente Alto,Centro de Salud Privado,Privado,-33.604849,-70.578955
COSAM Peñaflor,Peñaflor,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.60276,-70.853214
Centro Comunitario de Salud Familiar Las Hortensias,San Bernardo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.602133,-70.670512
SAPU Raúl Brañes F.,San Bernardo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.598813,-70.680145
Centro de Salud Familiar Raúl Brañes F.,San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.59866,-70.68036
Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo),San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.597631,-70.714846
SAPU Raúl Cuevas (Ex San Bernardo),San Bernardo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.597298,-70.715066
Clínica Santa Lucía,San Bernardo,Clínica,Privado,-33.596801,-70.703708
Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,Centro de Salud Familiar (CESFAM),Delegados,-33.59663,-70.556535
Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS,La Pintana,Centro de Salud Familiar (CESFAM),Delegados,-33.595431,-70.621698
Centro Odontológico Uno Salud Dental Independencia,Independencia,Clínica Dental,Privado,-33.424669,-70.654278
Laboratorio Scala,San Bernardo,Laboratorio Clínico,Privado,-33.594032,-70.703147
MEDICAL POLICENTER SAN BERNARDO,San Bernardo,Centro de Salud Privado,Privado,-33.59304,-70.700228
Hospital Parroquial de San Bernardo (D),San Bernardo,Hospital,Delegados,-33.592835,-70.697393
Centro Vida Integra de San Bernardo,San Bernardo,Centro de Salud Privado,Privado,-33.59258,-70.706562
Integramédica Santa Lucía,San Bernardo,Centro de Salud Privado,Privado,-33.59244,-70.70222
Macromédica,San Bernardo,Laboratorio Clínico,Privado,-33.592171,-70.703037
Posta de Salud Rural Las Vertientes,San José de Maipo,Posta de Salud Rural (PSR),Municipal,-33.592102,-70.482171
Centro de Salud Familiar Laurita Vicuña,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.591149,-70.595281
Centro de Salud Mutual CChC San Bernardo,San Bernardo,Centro de Salud Privado,Privado,-33.590867,-70.702896
Centro de Salud Familiar El Manzano,San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.590706,-70.666217
COSAM San Bernardo,San Bernardo,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.590145,-70.683325
Centro de Salud Familiar Confraternidad,San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.589661,-70.682857
SAPU Confraternidad,San Bernardo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.589493,-70.682814
Centro de Salud Familiar Santiago de Nueva Extremadura,La Pintana,Centro de Salud Familiar (CESFAM),Municipal,-33.588977,-70.618578
SAPU Santiago de Nueva Extremadura,La Pintana,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.588831,-70.618785
COSAM CEIF Puente Alto Norte,Puente Alto,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.58881,-70.5796
Clínica Santa Elena,La Pintana,Clínica,Privado,-33.587904,-70.62797
Centro Asistencial AChS San Bernardo,San Bernardo,Centro de Salud Privado,Privado,-33.586374,-70.702699
Centro de Salud Familiar Flor Fernández,La Pintana,Centro de Salud Familiar (CESFAM),Municipal,-33.585495,-70.636257
SAPU Juan Pablo II,San Bernardo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.584763,-70.691983
Centro de Referencia de Salud El Pino,San Bernardo,Centro de Referencia de Salud (CRS),Servicio de Salud,-33.584748,-70.675094
Centro de Salud Familiar Juan Pablo II ( San Bernardo),San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.584476,-70.692076
"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,Hospital,Servicio de Salud,-33.58435,-70.676793
Centro de Salud Familiar Bernardo Leighton,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.584276,-70.604383
SAR Padre Manuel Villaseca,Puente Alto,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.584146,-70.556186
SAPU Bernardo Leighton,Puente Alto,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.584117,-70.604067
Centro de Salud Familiar Padre Manuel Villaseca,Puente Alto,Centro de Salud Familiar (CESFAM),Municipal,-33.583959,-70.556326
COSAM La Pintana,La Pintana,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.583283,-70.634079
Centro de Salud Familiar Dr. Mario Salcedo,El Bosque,Centro de Salud Familiar (CESFAM),Municipal,-33.582081,-70.668768
SAPU San Rafael,La Pintana,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.57965,-70.63945
Centro de Salud Familiar San Rafael,La Pintana,Centro de Salud Familiar (CESFAM),Municipal,-33.579577,-70.639086
"Hospital Psiquiátrico El Peral (Santiago, Puente Alto)",Puente Alto,Hospital,Servicio de Salud,-33.579233,-70.551417
Centro Médico y Dental MegaSalud San Bernardo,San Bernardo,Centro de Salud Privado,Privado,-33.578297,-70.703022
Centro de Salud Familiar Canciller Orlando Letelier,El Bosque,Centro de Salud Familiar (CESFAM),Municipal,-33.578041,-70.67785
Hospital Sotero del Río (Otro Dispositivo),Puente Alto,Dispositivo Incorporado por Crisis Sanitaria,Servicio de Salud,-33.577783,-70.580226
"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,Hospital,Servicio de Salud,-33.577251,-70.581781
Unidad de Salud FuncionarioS.S Metropolitano Sur Oriente,Puente Alto,Unidad de Salud Funcionarios,Servicio de Salud,-33.577251,-70.581781
Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur Oriente),Puente Alto,Dirección Servicio de Salud,Servicio de Salud,-33.577251,-70.581781
PRAIS (S.S Metropolitano Sur Oriente),Puente Alto,Programa de Reparación y Atención Integral de Salud (PRAIS),Servicio de Salud,-33.577251,-70.581781
Centro de Salud Familiar Pablo de Rokha,La Pintana,Centro de Salud Familiar (CESFAM),Municipal,-33.576624,-70.64964
SAPU Pablo de Rokha,La Pintana,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.576474,-70.650211
Centro de Salud Familiar Carol Urzúa,San Bernardo,Centro de Salud Familiar (CESFAM),Municipal,-33.575808,-70.703607
SAR Eugenia Muñoz Dalmatín,San Bernardo,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.575737,-70.70347
Clínica Psiquiatrica Raquel Gaete,Puente Alto,Clínica,Privado,-33.574316,-70.555338
Centro Médico y Dental MegaSalud Puente Alto,Puente Alto,Centro de Salud Privado,Privado,-33.572803,-70.582526
Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,Centro de Salud Familiar (CESFAM),Municipal,-33.572212,-70.667054
SAR Haydee López,El Bosque,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,-33.572174,-70.667283
Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Padre Hurtado,Centro de Salud Familiar (CESFAM),Municipal,-33.569779,-70.805151
Centro de Enfermedades Respiratorias Infantiles Josefina Martínez (D),Puente Alto,Hospital,Delegados,-33.569382,-70.554425
Posta de Salud Rural Pabellón,Melipilla,Posta de Salud Rural (PSR),Municipal,-33.750621,-71.198276
Posta de Salud Rural Pahuilmo,Melipilla,Posta de Salud Rural (PSR),Municipal,-33.569161,-71.11575
Centro Integramédica Tobalaba,Puente Alto,Centro de Salud Privado,Privado,-33.568843,-70.55747
COSAM El Bosque,El Bosque,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.568335,-70.672247
SAPU Santa Rosa de Chena,Padre Hurtado,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.564063,-70.795882
Centro de Salud Familiar El Roble,La Pintana,Centro de Salud Familiar (CESFAM),Municipal,-33.563873,-70.647535
SAPU El Roble,La Pintana,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.563873,-70.647535
Centro Médico MAGNAVIDA,Padre Hurtado,Centro de Salud Privado,Privado,-33.56355,-70.798519
Centro Comunitario de Salud Familiar Rapa Nui,San Bernardo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.563233,-70.705938
Centro Comunitario de Salud Familiar Los Sauces,El Bosque,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.562535,-70.663532
Centro de Salud Familiar Cóndores de Chile,El Bosque,Centro de Salud Familiar (CESFAM),Municipal,-33.561362,-70.674691
SAPU Los Quillayes,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.560616,-70.605789
Clínica Familia,La Florida,Clínica,Privado,-33.560519,-70.565608
Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.560204,-70.578515
Centro de Salud Familiar Los Quillayes,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.560178,-70.60598
SAPU Dr. Fernando Maffioletti,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.560171,-70.578325
SAPU Dr. Carlos Lorca,El Bosque,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.55933,-70.669491
Centro de Rehabilitación Capredena,La Florida,Centro de Salud Privado,Fuerzas Armadas y de Orden (FFAA),-33.55784,-70.590685
Centro de Salud Familiar José Alvo,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.557178,-70.582012
SAPU José Alvo,La Florida,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.557172,-70.581816
Centro de Salud Familiar Santo Tomás,La Pintana,Centro de Salud Familiar (CESFAM),Municipal,-33.556972,-70.616542
SAPU Santo Tomás,La Pintana,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.556797,-70.616538
Consultorio Tantauco,El Bosque,Centro de Salud Privado,Privado,-33.555794,-70.675385
Centro de Salud Familiar Dr. Carlos Lorca Tobar,El Bosque,Centro de Salud Familiar (CESFAM),Municipal,-33.554149,-70.666968
COSAM La Florida,La Florida,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.553972,-70.575392
Hospital Padre Alberto Hurtado (San Ramón),San Ramón,Hospital,Servicio de Salud,-33.5525,-70.635024
Centro de Salud Familiar Santa Laura,El Bosque,Centro de Salud Familiar (CESFAM),Municipal,-33.552491,-70.688809
Centro de Salud Familiar Granja Sur,La Granja,Centro de Salud Familiar (CESFAM),Municipal,-33.551822,-70.629548
SAPU Poetisa Gabriela Mistral,San Ramón,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.551808,-70.640914
SAPU Granja Sur,La Granja,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.55162,-70.629382
Centro de Salud Familiar Poetisa Gabriela Mistral,San Ramón,Centro de Salud Familiar (CESFAM),Municipal,-33.551606,-70.640729
SAPU Cóndores de Chile,El Bosque,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.550691,-70.671985
Centro Comunitario de Salud Familiar Los Bosquinos,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.549797,-70.793484
COSAM La Bandera,San Ramón,Centro Comunitario de Salud Mental  (COSAM),Municipal,-33.549614,-70.645854
Centro de Salud Familiar Trinidad,La Florida,Centro de Salud Familiar (CESFAM),Municipal,-33.547211,-70.60862
